T,NNODES,h,J,NRUNS,EQNUMBER,SAMPLING_FREQ,WMIN,WMAX,TOPOLOGY,PROBABILITY,KNEIGHBOURS,UID
0.03250438344366758,205.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4ed6e1ea-8fe8-496f-971a-98942567c035
0.04834592966854832,255.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,34395a5a-bc78-4715-a00e-b595f9cff6de
0.1765070956703416,305.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,091777f5-7a57-4509-9f4d-e80b2e69fcdf
0.03297701679677776,355.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,52653b43-6b26-497b-adda-1cb952abb7d9
0.041659507966142234,455.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2d055ba7-05d2-4163-9ca4-df1e891898cd
0.15769765093074645,505.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,7e946dc1-b932-4bca-a80f-089917186289
0.05672553282501104,555.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,de52fbc6-d878-40bb-98d6-8332accde16b
0.0656364804389232,50.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,8a34e376-2164-43f6-b60d-e3f2ea48ceb4
0.03899022833164613,60.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,19a0bbbf-b5ff-40b7-a99f-57c086fa2f57
0.08297757240058115,70.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,1534e518-5ae2-47ae-b4e9-8f4bf0a5297a
0.047602392551151416,80.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,6aaf513c-c776-4b9b-80bf-8b99ff83ee10
0.08098509212402867,90.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,e56be3a6-a7d8-47b9-b4c4-219226b2bcfd
0.05088497199857167,100.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,49f41dd7-34e0-4fcb-b447-751d5b88229d
0.07562007915321692,110.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,6f4f1159-bd51-477d-9d17-4b5d6f7d9f7e
0.06782199199529662,120.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,36a52836-8b7a-4d4f-bc2e-551e0e9626d6
0.03732764042708784,130.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,6ba56321-8082-4415-b368-0b132bdb22b7
0.04312665831750367,140.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,cdecf172-9436-45ce-a1dc-e7fffcdf3621
0.053010611459366405,150.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,7f886dca-e397-4776-a1f7-6fa7c89bd009
0.043848533005059885,170.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,62d5d379-9234-4c82-8dec-722aa75f00ec
0.09182451765201408,190.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,fac5c2a1-9195-4918-93a0-e69bad478888
0.0942205153369044,200.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,556f0aa2-f9b5-4583-b75a-0d7e129f4867
0.09728151262032053,210.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,fdc6aa2b-9277-4203-9490-7abed1524448
0.06539612623406932,240.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,be5fb6de-f7c4-4416-b90a-c181436ab87c
0.09649524421450363,250.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,c0183b77-e457-4444-bf4a-527dc623d12f
0.03615075761806874,280.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,725a2bb8-e955-4f1e-b9d7-f5f99727fa8c
0.04626875751674212,290.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3e3fa7c0-76b2-4dd8-b874-14ee034dbab4
0.02037337358170821,300.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,f707a24f-cfa0-40a1-a28a-02014124381c
0.04757454982332585,320.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,eb09acce-fe34-460a-9f64-a6e6ee41ef6a
0.12731931617155182,370.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,98b5529a-f56e-45b3-a5a3-b8e49c7754c7
0.16827914664987184,380.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2b346d19-c259-48fc-8e3e-a0dae69c503a
0.1608470521122675,390.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,80f842bf-0fdd-4de6-b1ed-48181416087f
0.16612016272825186,420.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2e17aaf6-627a-44a3-8417-9658b3e6d4d8
0.1308702954877053,440.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,de6406de-35b4-4f8e-b36b-ddd104705349
0.1718041424825091,450.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,0737f3e2-72ed-4a4b-a247-5b755a7bef14
0.1769638867124497,460.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,a8079cb1-90ac-436c-8b76-45bd71e413e9
0.17509565434292687,490.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,d7e2e270-2577-4e2a-8c29-3b34beca0bf5
0.15313869224835094,510.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,78987759-09fc-405b-940f-342f7de152a1
0.07651696607633904,520.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,bd3badec-029e-45bf-9df8-44fbd915fde5
0.15226154853942012,530.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5833d92b-b1df-44fe-bdf6-9f46a5b6ecf3
0.15254940008699258,540.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3042f8cd-3443-4e11-9e9a-eb83a15383a3
0.1555088032997106,560.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,317bf8ad-fc37-4bc4-b560-867668ba5bce
0.17773037030054134,570.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,9a4fd242-b511-4c62-be8a-30931412923c
0.17233269742265608,600.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,1a3d9a1b-a826-4b07-b17a-ff2638c071df
0.0540502972846757,640.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5be6c599-4793-4c29-9d24-c5b3d372eb33
0.11696190872798505,680.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4a9f7ab3-333f-4a3c-b011-1d33214c1c90
0.030303451574634818,720.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,34d44dfe-c44a-41ea-8795-8328ddc4abff
0.04799786066652771,740.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5a23171c-325f-4836-a26c-342572d154f5
0.09173314157205996,750.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3d5f9938-5547-4c53-87ab-64e28fc78468
0.05830124887092444,760.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,e3bac3a9-49e0-470f-95fe-ed9e39f66177
0.14463616086831865,790.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3feb0e3b-375a-439c-9922-a2daa141efab
0.06831012440189689,800.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,1944d199-38f5-4447-b4df-7e8bc5c4b96a
0.06440869588435104,810.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,90262277-380b-4318-bcd8-b1c43ce813a2
0.12277302540893882,820.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3f523ed0-de1d-4103-971c-b5655ecca14c
0.04857396597760676,850.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,ce9194f1-b0b5-4c6a-a00c-2876ef5a7e3e
0.05495939898903671,870.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,1ea170fa-d2a7-42bd-b193-81fec12f04f4
0.04838842642915238,890.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,20f613bd-136e-43d4-a5f7-54729391b1fd
0.09069155197791172,980.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,761f4a58-d375-4727-ad35-7a472649142d
0.0583952409031566,1030.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,dc1539af-962b-4ba2-a961-35b9c8efe5cf
0.06176539350296219,1040.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,03a88f97-1c91-4725-b0c7-32cb1f2189af
0.14589206776108554,1090.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2b1a447e-4851-489b-825b-6fc4cb396ca6
0.07765043002887151,1130.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,ce747d18-f0bf-44b3-8630-a5e2e3285950
0.03929980865068136,1140.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,720a4602-0e13-4e4a-9e13-6c72de65d548
0.046074152818178574,1150.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,444ee224-8d07-46e5-863d-7d17b74874f4
0.12197232623552358,1160.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5ae3b2c3-921c-42d2-b869-310c52377564
0.05930459228990032,1210.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,f4aa7385-ee44-4add-88f8-cd1fdb0db38f
0.06866046849830339,1220.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,10de4e61-6a21-40cb-8357-03bab939d668
0.0793588679867166,1230.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,39ef16c0-75df-49fc-9291-7b24445e4312
0.10125586835083393,1260.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,0fb24ca5-3fda-473e-95d7-75fecfcfb509
0.07802252645741428,1290.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,15c1de19-6b3c-403b-829a-c4a8fb375857
0.0564255186190029,1300.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,badac8d0-d944-4d60-b525-85703921f723
0.02787825939717405,1310.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4e187dce-8c35-4c90-a0dc-09185ba2ecb2
0.07814802298197013,1320.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,d1a2c86c-4370-42fc-83ee-c7f57de55be5
0.06869831552581357,51.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,dc369b67-ba67-4713-81ba-9a3a0a1393dd
0.02931964970759295,171.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5ad1718d-4638-4294-bc88-5d6572d97036
0.1771514256172229,291.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,e4fb974a-80dc-42a5-b746-1cb5d946041f
0.11581384220101472,531.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,c3f1e28b-466a-4410-8c8a-e337ca0e0ef3
0.08007003151505546,771.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,7072b6f0-cdcc-4885-b686-d011092470d5
0.08480972707089918,1131.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4fd10d6b-b7b1-46b1-afc1-a0c971c72f07
0.0656364804389232,50.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,92aa2994-14e0-4f4a-ad46-d0b66117d160
0.05088497199857167,100.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,e591b753-9db1-4268-9b2b-7c0e71799626
0.053010611459366405,150.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,99778c81-6f72-438f-b0bf-11ce7256f7dc
0.0942205153369044,200.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,df4ad70f-1f91-40e9-85d7-b30c2161a030
0.09649524421450363,250.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4e02c587-a0c5-4e13-aefc-9cadf59c579a
0.02037337358170821,300.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,515cda33-7c09-4b52-ba84-1130bc71979e
0.1718041424825091,450.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,48ed9ea9-68bb-47fc-9c07-686b1cb2f03f
0.17233269742265608,600.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,a76954e6-b7bf-4a8b-b3e0-b7336d1d7bd6
0.09173314157205996,750.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,41c210b5-e636-48ca-8bc4-7e3497944645
0.06831012440189689,800.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,636230dc-c7e0-4a1e-b94c-12b5234b05fa
0.04857396597760676,850.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4265d5e0-795c-43b7-9070-f4df7fb2f794
0.06611126494163436,54.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,dda07333-389b-48f2-8218-3880dfe6af8f
0.05095059985670671,164.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,9a6358bd-949a-42fa-a018-d72c6c54c531
0.14928141345193385,274.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,0a36b9eb-ca00-4f8d-b06c-8e19d889fd0e
0.1580814345996633,384.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2e617911-2eed-4f88-b647-07401d944626
0.06717997876714525,494.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2f4aa4c0-3596-4041-8562-e9f8a08b71ec
0.039116232628207064,934.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,811f59ce-5e68-43ba-8584-8513950b5c16
0.05050233730328688,1044.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,7a4dc494-d154-46c7-8ba3-c602bf2d058d
